Job_Title,Company,City,Salary,Description,Experience,Education,Skills,min_salary,max_salary,min_exp,max_exp
not mentioned,not mentioned,"['kolkata', ' bengaluru']",not disclosed,"skills and qualifications: education: masters in computer science, statistics, mathemat...",6-8 yrs,"education
ug: b.tech/b.e. in any specialization
pg: m.tech in any specialization, ms/m.sc(science) in any specialization
doctorate: doctorate not required","['predictive modeling', 'azure', 'gcp', 'data scientist', 'hadoop', 'spark', 'python programming', 'aws', 'python', 'sql']",10.0,15.5,6.0,8.0
not mentioned,navikenz,['remote'],not disclosed,"masters / bachelors in computer science, mathematics, statistics, ai, data science or r...",5-8 yrs,"education
ug: any graduate
pg: any postgraduate
doctorate: any doctorate","['tensorflow', 'pytorch', 'machine learning', 'deep learning', 'scikit-learn', 'python']",10.0,15.5,5.0,8.0
not mentioned,not mentioned,"['hyderabad', ' bengaluru']",not disclosed,experience: 5 - 7 years  5-7 years of experience in data science or related field with ...,5-7 yrs,"education
ug: graduation not required","['tensorflow', 'pyspark', 'artificial intelligence', 'natural language processing', 'neural networks', 'deep learning', 'nlp', 'image processing', 'computer vision', 'aws', 'python']",10.0,15.5,5.0,7.0
not mentioned,sagility india,['bengaluru'],not disclosed,"shift timing - 11 am to 8 pm experience preferably in the context of nlp, machine learn...",3-7 yrs,"education
ug: any graduate",['not mentioned'],10.0,15.5,3.0,7.0
not mentioned,automotive robotics (ari),"['chennai', ' bengaluru']",not disclosed,the candidate should have at least 2-4 years of working experience in the area of ai.th...,2-5 yrs,"education
ug: b.tech/b.e. in any specialization
pg: m.tech in any specialization, mca in any specialization","['gen ai', 'mlops', 'pytorch', 'reinforcement learning', 'deep learning', 'tensorflow']",10.0,15.5,2.0,5.0
not mentioned,velocitai digital,['bengaluru'],30-40 lacs pa," data scientist (preferably based in bangalore, but if not possible, a remote opportuni...",5-10 yrs,"education
ug: b.tech/b.e. in any specialization","['pyspark', 'data pipeline', 'statistical modeling']",30.0,40.0,5.0,10.0
not mentioned,ltimindtree,"['hybrid - kolkata', ' chennai', ' bengaluru']",not disclosed,should have experience in working in a fast-paced team cultureshould be a data-oriented...,6-11 yrs,"education
ug: any graduate","['natural language processing', 'rag', 'llm', 'deep learning', 'python']",10.0,15.5,6.0,11.0
not mentioned,idc engineering,['bengaluru'],not disclosed,job description: data scientistexperience: 6 - 10 yearslocation: bangalore & chennainot...,6-10 yrs,"education
ug: any graduate",['azure cloud'],10.0,15.5,6.0,10.0
not mentioned,sagality india,"['bengaluru', ' mumbai (all areas)']",not disclosed,"roles and responsibilitiesdesign, develop, and deploy data science solutions using pyth...",3-5 yrs,"education
ug: any graduate",['not mentioned'],10.0,15.5,3.0,5.0
not mentioned,volvo auto,['bengaluru'],not disclosed," lets create the future together.   at volvo cars, we believe that being curious and tr...",5-7 yrs,"education
ug: any graduate
pg: any postgraduate","['orchestration', 'gcp', 'analytical', 'data quality', 'continuous improvement', 'business intelligence', 'operations', 'analytics', 'python']",10.0,15.5,5.0,7.0
