Job_Title,Company,City,Salary,Description,Experience,Education,Skills,min_salary,max_salary,min_exp,max_exp
not mentioned,not mentioned,"['mumbai', ' pune', ' gurugram']",15-22.5 lacs pa,"shift timmings: 12:00 pm to 9:00 pm. preferred skills : kubeflow, vetex ai, gcp / any c...",7-12 yrs,"education
ug: b.tech/b.e. in any specialization","['gke', 'tensorflow', 'azure', 'vetex ai', 'pytorch', 'gcp', 'kuberflow', 'virtual machine']",15.0,22.0,7.0,12.0
not mentioned,uplers,['remote'],40-60 lacs pa,"senior ml engineer experience: 5+ yearssalary : upto usd 72, 000 / yearpreferred notice...",5-10 yrs,"education
ug: any graduate","['docker', 'ci/cd', 'aws', 'sql']",40.0,60.0,5.0,10.0
not mentioned,not mentioned,['bengaluru(bagalur +3)'],10-14 lacs pa,*only female with relevant 3+yrs can apply current location must be bangalore -others p...,3-6 yrs,"education
ug: b.tech/b.e. in information technology, computers","['tensorflow', 'pytorch', 'opencv', 'computer vision', 'deep learning', 'scikit-learn', 'ml']",10.0,14.0,3.0,6.0
not mentioned,coursera,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",not disclosed,"it is now one of the largest online learning platforms in the world, with 142 million r...",5-6 yrs,"education
ug: any graduate
pg: any postgraduate","['ops', 'system', 'natural language processing', 'design patterns', 'computer vision', 'aws', 'machine learning', 'ml']",17.5,27.5,5.0,6.0
not mentioned,carbynetech india pvt ltd,['hyderabad'],not disclosed,job requirements :- 3+ years of experience in machine learning and ai analytics.- exper...,3-8 yrs,"education
ug: b.tech/b.e. in any specialization
pg: any postgraduate
doctorate: doctorate not required","['data science', 'r', 'apics', 'nlp', 'artificial intelligence', 'data management', 'python', 'predictive analytics']",17.5,27.5,3.0,8.0
not mentioned,som imaging informatics pvt. ltd.,['kolkata'],not disclosed, fundamentals of data science and programming.   neural networks and deep learning.    ...,5-8 yrs,"education
ug: any graduate
pg: any postgraduate","['deep learning', 'team management', 'data science', 'neural networks', 'machine learning', 'programming', 'python']",17.5,27.5,5.0,8.0
not mentioned,msys technologies,"['hybrid - pune', ' chennai', ' bengaluru']",not disclosed,experience with building basic web applications for user interactionexperience with bui...,6-11 yrs,"education
ug: any graduate","['genai', 'langgraph', 'langchain', 'aiml']",17.5,27.5,6.0,11.0
not mentioned,paypal,['chennai'],not disclosed,. - bachelors with 4+ years of experience or masters with 2+ years of experience or phd...,5-9 yrs,"education
ug: any graduate
pg: any postgraduate","['data analysis', 'data science', 'artificial intelligence', 'billing', 'machine learning', 'vulnerability', 'information technology', 'analytics', 'financial services', 'sql']",17.5,27.5,5.0,9.0
not mentioned,ventura securities,"['mumbai', ' thane', ' navi mumbai']",not disclosed,"education : bachelors degree in data science, computer science, statistics, mathematics...",5-10 yrs,"education
ug: any graduate
pg: any postgraduate
doctorate: doctorate not required","['r', 'data scientist', 'data visualization tools', 'data modeling', 'data analytics', 'machine learning', 'decision science', 'predictive analytics', 'python', 'sql']",17.5,27.5,5.0,10.0
not mentioned,ust,['pune'],not disclosed,critical thinking: data analysts must review numbers trends and data to come up with or...,5-7 yrs,"education
ug: any graduate
pg: any postgraduate","['data cleansing', 'data analysis', 'sas', 'coding', 'data modeling', 'analytical', 'data quality', 'data mining', 'analytics', 'sql']",17.5,27.5,5.0,7.0
