Job_Title,Company,City,Salary,Description,Experience,Education,Skills
Not Mentioned,Not Mentioned,Bengaluru,Not disclosed,"Masters in CS, Statistics, Math, or a related field (or Bachelors with significant expe...",5-10 Yrs,"Education
UG: Any Graduate","['Tensorflow', 'AWS Bedrock', 'Data Wrangling', 'LLAMA', 'Ml Algorithms', 'Scikit-Learn', 'Pytorch', 'GCP', 'GCP Vertex AI', 'Sonnet', 'AWS', 'statistical methods']"
Not Mentioned,Not Mentioned,Bengaluru,Not disclosed,". Masters Degree or PhD in the fields of Computer Science, Statistics, or an equivalent...",3-5 Yrs,"Education
UG: B.Tech/B.E. in Any Specialization","['Deep learning', 'Predictive Modeling', 'NLP', 'Statistical Modeling']"
Not Mentioned,Not Mentioned,Mumbai (All Areas),15-30 Lacs PA,"6-7 Yrs max exp must have at least 3 yrs of team lead exp minimum 3 team members , Skil...",6-11 Yrs,"Education
PG: MS/M.Sc(Science)","['Data Science', 'Data Bricks', 'Analytics']"
Not Mentioned,Vizlogic Digital Solutions Pvt Ltd,"Hybrid - Gurugram, Mumbai (All Areas)",6-12 Lacs PA,Proficient in Power BI Azure Databricks experience,3-5 Yrs,"Education
UG: B.Tech/B.E. in Any Specialization
PG: MCA in Any Specialization","['Data Werehousing', 'Azure Data Factory', 'Power Bi', 'Storytelling', 'Azure Databricks', 'Data Lake']"
Not Mentioned,Not Mentioned,"Hybrid - Noida, Gurugram, Bengaluru",Not disclosed,We are looking for Data Scientist and having hands on Experience with Model development...,3-5 Yrs,"Education
UG: Any Graduate","['Ml', 'DS']"
Not Mentioned,Not Mentioned,"Hybrid - Gurugram, Bengaluru",11-20 Lacs PA,Role & responsibilities  Data Scientist+ Model development + MLOPS + Python + SQL Prefe...,3-8 Yrs,"Education
UG: Any Graduate","['MLOPS', 'Model Development', 'Python', 'SQL']"
Not Mentioned,Uplers,Remote,35-60 Lacs PA,"Data Scientist Experience: 5+ yearsSalary : Upto USD 74, 400 / yearExpected Notice Peri...",5-7 Yrs,"Education
UG: Any Graduate","['Data Science', 'Predictive Modeling', 'R', 'Scala', 'Natural Language Processing', 'Python', 'SQL']"
Not Mentioned,Not Mentioned,Hyderabad,Not disclosed,". Master s or PhD in Data Science, Statistics, Economics, Applied Mathematics, or a rel...",4-9 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['Supply chain', 'Cloud computing', 'data science', 'Time series analysis', 'Demand forecasting', 'Consulting', 'Machine learning', 'Data collection', 'Data structures', 'Python']"
Not Mentioned,Not Mentioned,Hyderabad,Not disclosed,". Master s or PhD in Data Science, Statistics, Economics, Applied Mathematics, or a rel...",4-9 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['Supply chain', 'Cloud computing', 'data science', 'Time series analysis', 'Demand forecasting', 'Consulting', 'Machine learning', 'Data collection', 'Data structures', 'Python']"
Not Mentioned,Rarr Technologies,Faridabad,Not disclosed,Should have experience in working in a fast-paced team culture Should be a data-oriente...,10-16 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['C++', 'data science', 'Analytical', 'Machine learning', 'Cloud', 'microsoft', 'Business intelligence', 'Forecasting', 'SQL', 'Python']"
Not Mentioned,Rarr Technologies,Faridabad,Not disclosed,Should have experience in working in a fast-paced team culture Should be a data-oriente...,6-12 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['C++', 'data science', 'Analytical', 'Machine learning', 'Hadoop', 'microsoft', 'Business intelligence', 'Forecasting', 'SQL', 'Python']"
Not Mentioned,Precisely,Noida,Not disclosed,   Precisely is the leader in data integrity. We empower businesses to make more confid...,1-3 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['Text mining', 'Analytical', 'Artificial Intelligence', 'Machine learning', 'data integrity', 'Open source', 'Data mining', 'SQL', 'Python']"
